OperationIndex,Latency
839,0.001691
840,0.000538
841,0.001704
842,0.001140
843,0.000522
844,0.000553
845,0.001626
846,0.001694
847,0.000548
848,0.001714
849,0.000567
850,0.002530
851,0.001735
852,0.001616
853,0.000695
854,0.002841
855,0.001014
856,0.001079
857,0.002935
858,0.001360
859,0.000840
860,0.001459
861,0.000695
862,0.001061
863,0.002229
864,0.002445
865,0.001377
866,0.000768
867,0.001311
868,0.001836
869,0.000548
870,0.001683
871,0.001605
872,0.000551
873,0.001047
874,0.001651
875,0.001110
876,0.001077
877,0.000566
878,0.001643
879,0.000539
880,0.001088
881,0.001670
882,0.000540
883,0.000545
884,0.000573
885,0.001137
886,0.001168
887,0.001680
888,0.000539
889,0.001696
890,0.000577
891,0.001633
892,0.001066
893,0.001626
894,0.002679
895,0.001685
896,0.000577
897,0.000563
898,0.000597
899,0.000588
900,0.000613
901,0.000546
902,0.000583
903,0.000584
904,0.001215
905,0.001122
906,0.000541
907,0.001165
908,0.001595
909,0.001671
910,0.000528
911,0.000555
912,0.000587
913,0.000560
914,0.001110
915,0.001597
916,0.000543
917,0.000589
918,0.001067
919,0.000557
920,0.001612
921,0.001600
922,0.001016
923,0.001696
924,0.000518
925,0.000552
926,0.000507
927,0.000589
928,0.000526
929,0.001574
930,0.001030
931,0.000556
932,0.000518
933,0.001620
934,0.001059
935,0.001019
936,0.000565
937,0.001604
938,0.001624
939,0.001206
940,0.001688
941,0.000615
942,0.000554
943,0.000553
944,0.000535
945,0.000538
946,0.000505
947,0.000496
948,0.000523
949,0.001053
950,0.001625
951,0.000497
952,0.001126
953,0.000505
954,0.000519
955,0.000977
956,0.000557
957,0.000494
958,0.000521
959,0.001488
960,0.001101
961,0.001120
962,0.001089
963,0.000586
964,0.000545
965,0.001123
966,0.001068
967,0.001099
968,0.000546
969,0.000565
970,0.000532
971,0.001655
972,0.001616
973,0.001105
974,0.001568
975,0.000544
976,0.001073
977,0.001063
978,0.001599
979,0.001126
980,0.000548
981,0.001100
982,0.001111
983,0.000537
984,0.001117
985,0.001549
986,0.001037
987,0.000529
988,0.001584
989,0.000535
990,0.001513
991,0.001636
992,0.000514
993,0.001629
994,0.001587
995,0.001542
996,0.001584
997,0.001025
998,0.001092
999,0.000992
1000,0.000505
